Event,Date,Day,Begin,End,Room,Type
Jazzercise,11/21/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/21/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,11/21/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thanksgiving Holiday~Office Closed,11/22/2018,Th,12:00:00 AM,11:45:00 PM,Off Site Activity,Holiday
Thanksgiving Holiday~Office Closed,11/23/2018,Fr,12:00:00 AM,11:45:00 PM,Off Site Activity,Holiday
Jazzercise,11/23/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/24/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,11/25/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,11/25/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,11/25/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,11/25/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Session Meeting,11/25/2018,Su,6:00:00 PM,8:00:00 PM,Keene Room,Session Meeting
Jazzercise,11/26/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/26/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,11/26/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,11/27/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/27/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,11/27/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,11/28/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/28/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,11/28/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,11/30/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/1/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,12/2/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,12/2/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,12/2/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,12/2/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,12/3/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/3/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,12/3/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,12/4/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,12/4/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,12/4/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,12/4/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,12/5/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/5/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,12/5/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,12/7/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/8/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,12/9/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,12/9/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,12/9/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,12/9/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,12/10/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/10/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,12/10/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,12/11/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/11/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,12/11/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,12/12/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/12/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,12/12/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,12/14/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/15/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,12/16/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,12/16/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,12/16/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,12/16/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,12/17/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/17/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,12/17/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,12/18/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/18/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,12/18/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,12/19/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/19/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,12/19/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,12/21/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/22/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,12/23/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,12/23/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,12/23/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,12/23/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,12/24/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/24/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Candlelight Christmas Eve Communion Service,12/24/2018,Mo,5:00:00 PM,6:30:00 PM,Sanctuary,Worship Service
Jazzercise,12/24/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Christmas~Office Closed,12/25/2018,Tu,12:00:00 AM,11:45:00 PM,Off Site Activity,Holiday
Jazzercise,12/25/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/25/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,12/25/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,12/26/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/26/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,12/26/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,12/28/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/29/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Sunday School,12/30/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,12/30/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,12/30/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
New Year’s Eve~Office Closed,12/31/2018,Mo,12:00:00 AM,11:45:00 PM,Off Site Activity,Holiday
Jazzercise,12/31/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,12/31/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,12/31/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
New Year’s Day~Office Closed,1/1/2019,Tu,12:00:00 AM,11:45:00 PM,Off Site Activity,Holiday
Jazzercise,1/2/2019,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/2/2019,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,1/2/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,1/4/2019,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/5/2019,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Sunday School,1/6/2019,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/6/2019,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,1/6/2019,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,1/7/2019,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/7/2019,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/7/2019,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/8/2019,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,1/8/2019,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,1/8/2019,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/8/2019,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/9/2019,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/9/2019,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,1/9/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,1/11/2019,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/12/2019,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Sunday School,1/13/2019,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/13/2019,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,1/14/2019,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/14/2019,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/14/2019,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/15/2019,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/15/2019,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/15/2019,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/16/2019,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
